,genre_ids,ids,popularity,release_date,release_year,title,vote_average
379,18,418827,1.201572,2016-10-11,2016,Sister's Younger Husband,9.0
380,18,373473,1.201525,2016-08-05,2016,Little Men,6.8
381,18,325302,1.201106,2016-02-26,2016,They Look Like People,5.9
382,18,399636,1.200571,2016-06-21,2016,Retake,6.3
383,18,328796,1.200182,2016-04-16,2016,Burn Country,5.3
384,18,396352,1.1997,2016-01-28,2016,Melon Rainbow,0.0
385,18,393445,1.19907,2016-10-27,2016,Ae Dil Hai Mushkil,5.9
386,18,428849,1.199002,2016-12-03,2016,A Firehouse Christmas,6.0
387,18,390329,1.198733,2016-04-14,2016,Madly,0.0
388,18,324284,1.198714,2016-01-08,2016,Lamb,6.1
389,18,396389,1.196629,2016-05-06,2016,One Night Stand,10.0
390,18,381040,1.196625,2016-09-19,2016,My Blind Brother,6.2
391,18,396393,1.195897,2016-06-11,2016,Stop the Wedding,5.2
392,18,401698,1.193466,2016-01-01,2016,Hidden Kisses,7.0
393,18,377273,1.193183,2016-09-01,2016,Aquarius,7.8
394,18,413745,1.192498,2016-07-22,2016,One Night Only,5.0
395,18,402383,1.190808,2016-08-20,2016,Gotthard,6.8
396,18,410366,1.189934,2016-11-09,2016,The History of Love,7.2
397,18,402446,1.18945,2016-07-31,2016,Edge of Winter,4.9
398,18,384687,1.188945,2016-03-18,2016,The Channel,3.4
399,18,330697,1.18791,2016-03-02,2016,Belgica,5.7
400,18,377213,1.187862,2016-06-10,2016,Te3n,7.1
401,18,376455,1.186764,2016-10-28,2016,Kodi,6.8
402,18,381418,1.185571,2016-02-05,2016,Sanam Teri Kasam,7.5
403,18,336271,1.184518,2016-07-15,2016,The Dark Stranger,5.1
404,18,348675,1.18343,2016-04-21,2016,The Day Will Come,7.4
