,title,id,release_date,popularity,genre_ids
324,After Earth,82700,2013-05-30,4.011711,"[878, 28, 12]"
325,We're the Millers,138832,2013-08-07,3.978562,"[35, 80]"
326,Spring Breakers,122081,2013-01-24,3.959213,"[18, 80]"
327,The Great Gatsby,64682,2013-05-10,3.931093,"[18, 10749]"
328,Present Perfect Continuous Tense,252578,2013-07-18,3.848114,[10749]
329,Despicable Me 2,93456,2013-06-25,3.847651,"[16, 35, 10751]"
330,Oblivion,75612,2013-04-10,3.745339,"[28, 878, 12, 9648]"
331,A Good Day to Die Hard,47964,2013-02-06,3.743196,"[28, 53]"
332,Warm Bodies,82654,2013-01-31,3.728343,"[27, 35, 10749]"
333,Snowpiercer,110415,2013-08-01,3.650671,"[28, 878, 18]"
334,The Conjuring,138843,2013-07-18,3.595575,"[27, 53]"
335,The Family,112205,2013-09-13,3.591244,"[80, 35, 28]"
336,Don Jon,138697,2013-07-26,3.559383,"[35, 18]"
337,Hansel & Gretel: Witch Hunters,60304,2013-01-17,3.512976,"[14, 27, 28]"
338,American Hustle,168672,2013-12-12,3.502071,"[18, 80]"
339,Riddick,87421,2013-09-02,3.488219,"[878, 28, 53]"
340,The Purge,158015,2013-05-31,3.467947,"[878, 27, 53]"
341,Beautiful Creatures,109491,2013-02-13,3.464175,"[14, 18, 10749]"
342,The Bling Ring,96936,2013-06-12,3.413352,"[18, 80]"
343,Nymphomaniac: Vol. I,258216,2013-12-25,3.413071,[18]
344,G.I. Joe: Retaliation,72559,2013-03-26,3.381207,"[12, 28, 878, 53]"
345,Dallas Buyers Club,152532,2013-09-07,3.379185,"[18, 36]"
346,Dear Sidewalk,224917,2013-10-25,3.374,"[10749, 35, 18]"
347,Prisoners,146233,2013-09-18,3.373639,"[18, 53, 80]"
348,The Lone Ranger,57201,2013-07-03,3.364194,"[28, 12, 37]"
349,Are You Here,209244,2013-09-07,3.298101,[35]
350,The Mortal Instruments: City of Bones,123553,2013-08-21,3.269041,"[28, 12, 18, 9648, 10749, 14]"
351,Lone Survivor,193756,2013-12-24,3.196644,"[28, 18, 53, 10752]"
352,Percy Jackson: Sea of Monsters,76285,2013-08-07,3.15538,"[12, 10751, 14]"
353,About Time,122906,2013-08-16,3.148676,"[35, 18, 878]"
354,The Hangover Part III,109439,2013-05-23,3.104928,[35]
355,Turbo,77950,2013-07-11,3.103298,"[16, 10751]"
356,R.I.P.D.,49524,2013-07-18,3.096999,"[14, 28, 35, 80]"
357,This Is the End,109414,2013-06-12,3.092187,"[28, 35]"
358,Escape Plan,107846,2013-10-09,3.045742,"[28, 53]"
359,2 Guns,136400,2013-08-02,3.041375,"[28, 80, 18, 35, 53]"
360,Oz: The Great and Powerful,68728,2013-03-07,3.038812,"[14, 12, 10751]"
361,Evil Dead,109428,2013-04-05,3.02523,[27]
362,Short Term 12,169813,2013-08-23,2.958148,[18]
363,"Batman: The Dark Knight Returns, Part 2",142061,2013-01-18,2.940635,"[16, 28]"
364,Oculus,157547,2013-09-08,2.931567,[27]
365,Fuck You Goethe,233063,2013-11-07,2.921297,[35]
366,Carrie,133805,2013-10-16,2.914924,"[18, 27]"
367,Very Good Girls,70706,2013-01-22,2.886323,[18]
368,The World's End,107985,2013-07-18,2.881583,"[35, 28, 878]"
369,The Heat,136795,2013-06-27,2.880798,"[28, 35, 80]"
370,Gangster Squad,82682,2013-01-10,2.87338,"[80, 18, 28, 53]"
371,Kick-Ass 2,59859,2013-07-17,2.864959,"[28, 12, 80]"
372,Epic,116711,2013-05-15,2.844445,"[16, 12, 10751, 14]"
373,The Frozen Ground,199373,2013-07-18,2.836907,"[53, 80]"
374,Olympus Has Fallen,117263,2013-03-20,2.833055,"[28, 53]"
375,Oldboy,87516,2013-11-14,2.827751,"[18, 53, 9648, 28]"
376,The Best Offer,152742,2013-01-01,2.827063,"[18, 10749, 80, 9648]"
377,Grudge Match,64807,2013-12-25,2.825435,[35]
378,The Host,72710,2013-03-22,2.821089,"[28, 12, 10749, 878, 53]"
